한식,어부사시가,호세야,무국적식탁,우삼겹,동궁찜닭,제주상회,옥수동김치찜,고기혁명,쭈꾸미싸롱,고기왕창자이언트비빔밥,본도시락,옥수동 묵은지 김치찜,유천칡냉면,제육대가,원조 고기듬뿍 비빔밥&냉면 1997,스쿨푸드
양식,파고,서오릉피자,알렉스플레이스,스푼필라프 & 파스타,파파존스,덤덤피자
일식,홍대돈부리,그랩유부,카도야라멘,카레는 카레와,코바코돈까스,코코미
기타,사천마라탕,중식(알아서 검색),퍼팬,퍼블리코타코,포 비엣,도스타코스
